schemaVersion,recordType,source.name,source.url,content.company,content.date,content.is_remote,content.role_family,collectedAt
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/eleve-talent/remote-knit-research-director-285983,Eleve Talent,2026-09-06T10:40:10Z,False,Other,2026-09-06T13:42:47.628013Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/eleve-talent/remote-knit-lead-product-manager-308888,Eleve Talent,2026-09-06T10:40:10Z,False,Product,2026-09-06T13:42:47.628024Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/eleve-talent/remote-endear-account-manager-179224,Eleve Talent,2026-09-06T10:40:10Z,False,Other,2026-09-06T13:42:47.628040Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/eleve-talent/remote-endear-onboarding-manager-47640,Eleve Talent,2026-09-06T10:40:10Z,False,Other,2026-09-06T13:42:47.628055Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/certa/remote-initiative-application-168473,Certa,2026-09-06T10:40:07Z,False,Other,2026-09-06T13:42:47.628443Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/exegy/ingenieur-fpga-fpga-engineer-paris-364670,Exegy,2026-09-06T10:40:03Z,False,Engineering,2026-09-06T13:42:47.628797Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/cribl/partner-solutions-engineer-southern-europe-305658,Cribl,2026-09-06T07:55:13Z,False,Sales,2026-09-06T13:42:47.629160Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/kaluza/senior-software-engineer-i-paris-paris-341689,Kaluza,2026-09-06T07:55:07Z,False,Engineering,2026-09-06T13:42:47.629508Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/kaluza/product-manager-energy-billing-fluent-french-english-paris-paris-410530,Kaluza,2026-09-06T07:55:07Z,False,Product,2026-09-06T13:42:47.629521Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/kaluza/product-manager-device-data-management-fluent-french-english-paris-paris-379161,Kaluza,2026-09-06T07:55:07Z,False,Product,2026-09-06T13:42:47.629532Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/kaluza/product-manager-data-fluent-french-english-paris-paris-416720,Kaluza,2026-09-06T07:55:07Z,False,Product,2026-09-06T13:42:47.629542Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/kaluza/product-manager-ccaas-french-speaking-paris-paris-105784,Kaluza,2026-09-06T07:55:07Z,False,Product,2026-09-06T13:42:47.629552Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/verkada/enterprise-account-executive-france-paris-301288,Verkada,2026-09-06T07:55:04Z,False,Sales,2026-09-06T13:42:47.629887Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/yext/director-enterprise-sales-paris-82584,Yext,2026-09-06T07:55:03Z,False,Sales,2026-09-06T13:42:47.630272Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/primerio/account-executive-mid-market-france-paris-318736,Primer.io,2026-09-06T07:40:04Z,False,Sales,2026-09-06T13:42:47.630620Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/axle-careers/energy-markets-france-cdd-paris-120734,Axle Careers,2026-09-06T07:40:03Z,False,Engineering,2026-09-06T13:42:47.631064Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/axle-careers/growth-france-cdd-paris-363484,Axle Careers,2026-09-06T07:40:03Z,False,Marketing,2026-09-06T13:42:47.631077Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/duck-duck-go/remote-senior-growth-marketing-manager-subscriptions-368722,Duck Duck Go,2026-09-06T07:40:03Z,False,Marketing,2026-09-06T13:42:47.631594Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/duck-duck-go/remote-senior-product-design-engineer-145790,Duck Duck Go,2026-09-06T07:40:03Z,False,Design,2026-09-06T13:42:47.631606Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/duck-duck-go/remote-staff-data-scientist-28394,Duck Duck Go,2026-09-06T07:40:03Z,False,Data,2026-09-06T13:42:47.631616Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/duck-duck-go/remote-creative-design-lead-marketing-campaigns-86272,Duck Duck Go,2026-09-06T07:40:03Z,False,Marketing,2026-09-06T13:42:47.631628Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/duck-duck-go/remote-privacy-engineering-director-460386,Duck Duck Go,2026-09-06T07:40:03Z,False,Engineering,2026-09-06T13:42:47.631644Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/duck-duck-go/remote-senior-privacy-engineer-65238,Duck Duck Go,2026-09-06T07:40:03Z,False,Engineering,2026-09-06T13:42:47.631664Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/whitecircle/remote-recruiter-research-108565,Whitecircle,2026-09-06T07:40:01Z,False,HR,2026-09-06T13:42:47.632049Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/whitecircle/senior-data-labeler-paris-63823,Whitecircle,2026-09-06T07:40:01Z,False,Other,2026-09-06T13:42:47.632067Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/whitecircle/research-scientist-engineer-agentic-systems-paris-217452,Whitecircle,2026-09-06T07:40:01Z,False,Data,2026-09-06T13:42:47.632078Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/whitecircle/research-scientist-ai-behaviours-paris-183446,Whitecircle,2026-09-06T07:40:01Z,False,Data,2026-09-06T13:42:47.632088Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/whitecircle/research-engineer-evals-paris-388716,Whitecircle,2026-09-06T07:40:01Z,False,Engineering,2026-09-06T13:42:47.632102Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/whitecircle/devops-engineer-paris-46248,Whitecircle,2026-09-06T07:40:01Z,False,Engineering,2026-09-06T13:42:47.632117Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/whitecircle/product-engineer-backend-paris-126655,Whitecircle,2026-09-06T07:40:01Z,False,Engineering,2026-09-06T13:42:47.632132Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/whitecircle/multimodal-ml-engineer-paris-374661,Whitecircle,2026-09-06T07:40:01Z,False,Data,2026-09-06T13:42:47.632142Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/whitecircle/ml-research-engineer-paris-21219,Whitecircle,2026-09-06T07:40:01Z,False,Engineering,2026-09-06T13:42:47.632156Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/whitecircle/ml-infrastructure-engineer-paris-407148,Whitecircle,2026-09-06T07:40:01Z,False,Engineering,2026-09-06T13:42:47.632180Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/xm/remote-software-development-engineers-in-test-python-226133,Xm,2026-09-06T07:24:17Z,False,Engineering,2026-09-06T13:42:47.632632Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/xm/remote-site-reliability-engineers-sre-314013,Xm,2026-09-06T07:24:17Z,False,Engineering,2026-09-06T13:42:47.632649Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/xm/remote-qa-software-test-automation-engineers-java-233007,Xm,2026-09-06T07:24:17Z,False,Engineering,2026-09-06T13:42:47.632664Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/exotec/senior-software-integration-engineer-warehouse-automation-lille-241230,Exotec,2026-09-06T07:20:09Z,False,Engineering,2026-09-06T13:42:47.633041Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/exotec/senior-network-rd-engineer-wasquehal-448311,Exotec,2026-09-06T07:20:09Z,False,Operations,2026-09-06T13:42:47.633057Z
1.0,JOB,Arbeitnow,https://www.arbeitnow.fr/jobs/companies/dilitrust/software-engineer-ai-platform-frontend-paris-la-defense-30686,DiliTrust,2026-09-06T07:05:03Z,False,Engineering,2026-09-06T13:42:47.633461Z
1.0,JOB,Himalayas,https://himalayas.app/companies/recruitmymom/jobs/outbound-lead-cold-email,RecruitMyMom,2026-09-06T12:58:22Z,True,Sales,2026-09-06T13:42:47.633924Z
1.0,JOB,Himalayas,https://himalayas.app/companies/rede-consulting-services/jobs/marketing-interns-sept-dec-26,Rede Consulting Services,2026-09-06T12:57:19Z,True,Sales,2026-09-06T13:42:47.634611Z
1.0,JOB,Himalayas,https://himalayas.app/companies/bos-staffing/jobs/bilingual-legal-assistant,BOS Staffing,2026-09-06T12:56:56Z,True,Legal,2026-09-06T13:42:47.635081Z
