schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/amorphic-labs,Amorphic Labs,2.0,2026-09-06T17:04:11.175957Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/rekursivai,rekursiv.ai,2.0,2026-09-06T17:04:11.176021Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/playablai,Playabl.ai,10.0,2026-09-06T17:04:11.176123Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/enjamb-labs,Enjamb Labs,2.0,2026-09-06T17:04:11.176193Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/trident,Trident,4.0,2026-09-06T17:04:11.176263Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/revnu,Revnu,2.0,2026-09-06T17:04:11.176292Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/uno-wallet,Uno Wallet,2.0,2026-09-06T17:04:11.176386Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tolmo,Tolmo,12.0,2026-09-06T17:04:11.176416Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/pops,Pops,1.0,2026-09-06T17:04:11.176529Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/armature,Armature,3.0,2026-09-06T17:04:11.176607Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/collar,Collar,2.0,2026-09-06T17:04:11.176677Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/degla-inc,Degla Inc,2.0,2026-09-06T17:04:11.176711Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/archer,Archer,4.0,2026-09-06T17:04:11.176778Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/infera,Infera,2.0,2026-09-06T17:04:11.176844Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/keyframe-labs,Keyframe Labs,2.0,2026-09-06T17:04:11.176912Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/ontora,Ontora,3.0,2026-09-06T17:04:11.176980Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/lab0,Lab0,3.0,2026-09-06T17:04:11.177148Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/kimpton,Kimpton,5.0,2026-09-06T17:04:11.177217Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/stablebrowse,StableBrowse,3.0,2026-09-06T17:04:11.177353Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/userlens,Userlens,4.0,2026-09-06T17:04:11.177430Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/superlog,Superlog,2.0,2026-09-06T17:04:11.177548Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/godhands,GodHands,2.0,2026-09-06T17:04:11.177641Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/light-anchor,Light Anchor,2.0,2026-09-06T17:04:11.177769Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hub,Hub,10.0,2026-09-06T17:04:11.177903Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/zenbu-2,Zenbu,1.0,2026-09-06T17:04:11.177973Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/discovered-materials,Discovered Materials,2.0,2026-09-06T17:04:11.178077Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/twolabs,Twolabs,2.0,2026-09-06T17:04:11.178154Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/marker,Marker,3.0,2026-09-06T17:04:11.178227Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/palette-2,Palette,2.0,2026-09-06T17:04:11.178303Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/multiplier,Multiplier,3.0,2026-09-06T17:04:11.178380Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/osmaura,Osmaura,2.0,2026-09-06T17:04:11.178456Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/most-robotic,Most Robotic,2.0,2026-09-06T17:04:11.178693Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/illume-labs,Illume Labs,3.0,2026-09-06T17:04:11.178788Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/hedge,Hedge,2.0,2026-09-06T17:04:11.179037Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/litmus-hiring,Litmus,3.0,2026-09-06T17:04:11.179144Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/shofo,Shofo,4.0,2026-09-06T17:04:11.179177Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/carrot-labs,Carrot Labs,2.0,2026-09-06T17:04:11.179257Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/ossus,Ossus,3.0,2026-09-06T17:04:11.179288Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/dipole-labs,Dipole Labs,0.0,2026-09-06T17:04:11.179372Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/poth-labs,Poth Labs,2.0,2026-09-06T17:04:11.179448Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/cova,Cova,2.0,2026-09-06T17:04:11.179478Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/veriad,Veriad,2.0,2026-09-06T17:04:11.179557Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/talking-computers,Talking Computers,2.0,2026-09-06T17:04:11.179634Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/tsenta,Tsenta,2.0,2026-09-06T17:04:11.179714Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/dream,Dream,2.0,2026-09-06T17:04:11.179743Z
1.0,STARTUP,Y Combinator,https://www.ycombinator.com/companies/atlia,Atlia,2.0,2026-09-06T17:04:11.179773Z
