schemaVersion,recordType,source.name,source.url,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/callbook-ai,Callbook AI,UNKNOWN,2026-09-06T23:02:49.240491Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/definite,Definite,UNKNOWN,2026-09-06T23:02:49.240521Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/alkera-ai,Alkera AI,UNKNOWN,2026-09-06T23:02:49.240551Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/rasyn,Rasyn,UNKNOWN,2026-09-06T23:02:49.240564Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/screenpipe,screenpipe,UNKNOWN,2026-09-06T23:02:49.240594Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/zaplar,Zaplar,UNKNOWN,2026-09-06T23:02:49.240623Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/prodigy-research,Prodigy Research,UNKNOWN,2026-09-06T23:02:49.240654Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/touchmark,Touchmark,UNKNOWN,2026-09-06T23:02:49.240685Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/exosat,Exosat,UNKNOWN,2026-09-06T23:02:49.240714Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/contextdev,Context.dev,UNKNOWN,2026-09-06T23:02:49.240746Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/glen,Glen,UNKNOWN,2026-09-06T23:02:49.240757Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/stoa,Stoa,UNKNOWN,2026-09-06T23:02:49.240768Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/joinmarble,Marble,UNKNOWN,2026-09-06T23:02:49.240798Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/audun,Audun,UNKNOWN,2026-09-06T23:02:49.240808Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/grocalo,Grocalo,UNKNOWN,2026-09-06T23:02:49.240839Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/ai-coach,COACH,UNKNOWN,2026-09-06T23:02:49.240849Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/deepreach-inc,DeepReach Inc.,UNKNOWN,2026-09-06T23:02:49.240884Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/mochitv,MOCHI.TV,UNKNOWN,2026-09-06T23:02:49.240914Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/alloovium,Alloovium,UNKNOWN,2026-09-06T23:02:49.240944Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/mosaic-inc,Mosaic,UNKNOWN,2026-09-06T23:02:49.240975Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/bizmark,Bizmark,UNKNOWN,2026-09-06T23:02:49.241005Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/riften,Riften,UNKNOWN,2026-09-06T23:02:49.241036Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/buildbox,Buildbox,UNKNOWN,2026-09-06T23:02:49.241070Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/realpact,RealPact,UNKNOWN,2026-09-06T23:02:49.241102Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/guild,GUILD,UNKNOWN,2026-09-06T23:02:49.241116Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/instaplay,Instaplay,UNKNOWN,2026-09-06T23:02:49.241147Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/impact-drones,IMPACT Drones,UNKNOWN,2026-09-06T23:02:49.241178Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/insurf,Insurf,UNKNOWN,2026-09-06T23:02:49.241210Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/jcode,Jcode,UNKNOWN,2026-09-06T23:02:49.241221Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/lemonlime,LemonLime,UNKNOWN,2026-09-06T23:02:49.241260Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/speko,Speko,UNKNOWN,2026-09-06T23:02:49.241274Z
1.0,PRODUCT,Y Combinator,https://www.ycombinator.com/companies/synapse-semiconductor,Synapse Semiconductor,UNKNOWN,2026-09-06T23:02:49.241306Z
