schemaVersion,recordType,source.name,source.url,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04024v1,Instruction Duplication as an Inference-Time Control Primitive,"[""Victor Lavrenko""]",https://arxiv.org/abs/2609.04024v1,,,2026-09-03T16:05:21Z,2026-09-06T16:57:19.205892Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04022v1,Representational alignment yields generalizable safety in language models,"[""Lingyu Li"", ""Yan Teng"", ""Yingchun Wang"", ""Xia Hu""]",https://arxiv.org/abs/2609.04022v1,https://github.com/LingyuLi-Cogs/ReSO,0.0,2026-09-03T16:00:16Z,2026-09-06T16:57:19.206315Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04021v1,FLY-EVAL++: An Evidence-Driven Evaluation Protocol for Safety-Constrained Flight Prediction with Large Language Models,"[""Yalun Wu"", ""Junfeng Fang"", ""Jiawei Wang"", ""Haotian Liu"", ""Qijun Yang"", ""Minghan Yang"", ""Hongcheng Guo"", ""Zhoujun Li"", ""Boyang Wang""]",https://arxiv.org/abs/2609.04021v1,,,2026-09-03T16:00:02Z,2026-09-06T16:57:19.206329Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04014v1,InSituMeasure: Probing Situated Measurement Grounding in Industrial Scenes with Multimodal Large Language Models,"[""Chao Shen"", ""Xinyuan Li"", ""Yunfan Zhou"", ""Jianguo Yao"", ""Haibing Guan"", ""Zhihai Wang"", ""Xijun Li""]",https://arxiv.org/abs/2609.04014v1,,,2026-09-03T15:54:21Z,2026-09-06T16:57:19.206335Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04013v1,LLM4CKD: Large Language Models for Early Stage Chronic Kidney Disease Screening,"[""Muhammad Ashad Kabir"", ""Sirajam Munira""]",https://arxiv.org/abs/2609.04013v1,https://github.com/akabircs/LLM4CKD,0.0,2026-09-03T15:53:20Z,2026-09-06T16:57:19.206342Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04009v1,The Blind Spot in 2D Infants' Pose Estimation:Robust Learning from Noisy Annotations,"[""Emanuele Cardinale"", ""Marco Proietti"", ""Alessandro Cacciatore"", ""Maria Francesca Spadea"", ""Lucia Migliorelli"", ""Sara Moccia""]",https://arxiv.org/abs/2609.04009v1,,,2026-09-03T15:47:56Z,2026-09-06T16:57:19.206360Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04005v1,The Dually Flat Geometry of Planning as Inference,"[""Nikola Milosevic"", ""Asaki Kataoka"", ""Nicolas Hinrichs"", ""Kenji Doya"", ""Nico Scherf""]",https://arxiv.org/abs/2609.04005v1,,,2026-09-03T15:44:47Z,2026-09-06T16:57:19.206388Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.03995v1,Catalogue Photography as a Cold Start: Toward Deployable Carbide Burr Recognition,"[""Abilash Philip Madavath"", ""Chandra Yuvesh Aubeeluck"", ""Augustin Raju"", ""Nicolas Pyschny"", ""Felix Hackel\u00f6er"", ""Florian Zwanzig""]",https://arxiv.org/abs/2609.03995v1,,,2026-09-03T15:36:12Z,2026-09-06T16:57:19.206403Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.03973v1,Common-Witness Certificates and Sharp Feature Bounds for Counterfactual Image Auditing,"[""Usef Faghihi"", ""Amir Saki""]",https://arxiv.org/abs/2609.03973v1,,,2026-09-03T15:09:52Z,2026-09-06T16:57:19.206425Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.03967v1,Investigating the Ability of Large Language Models to Analyze Recipes for Diabetes,"[""Revathy Venkataramanan"", ""Aditya Luthra"", ""Venkatesan Nadimuthu"", ""Amit Sheth""]",https://arxiv.org/abs/2609.03967v1,https://github.com/revathyramanan/LLMs-Diabetes-Recipes,0.0,2026-09-03T15:03:36Z,2026-09-06T16:57:19.206433Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.03966v1,Interface-Induced Trajectory Censoring,"[""Wenbo Wang""]",https://arxiv.org/abs/2609.03966v1,https://github.com/nebula-1999/Interface-Induced-Trajectory-Censoring,0.0,2026-09-03T15:00:31Z,2026-09-06T16:57:19.206439Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.03960v1,FiMI Banking: A Sovereign Model for Indian Retail Banking,"["" NPCI AI Research Team"", ""Aman Kumar"", ""Asit Desai"", ""Chandra Bhushan"", ""Harsh Sharma"", ""Harshit Bhushan"", ""Hrithik Kadam"", ""Keyur Doshi"", ""Kolisetty Sai Kapardheeswar"", ""Krishanu Adhikary"", ""Nadeem Shaik"", ""Navya Prakash"", ""Nitin Kukreja"", ""Prashant Devadiga"", ""Shamanth MH"", ""Shantanu Pandey"", ""Suvradip Paul"", ""Yatharth Dedhia""]",https://arxiv.org/abs/2609.03960v1,,,2026-09-03T14:56:59Z,2026-09-06T16:57:19.206446Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.03956v1,RARF: Region-Aware Rectified Flows for 3D Brain MRI Inpainting,"[""Tomas Guija-Valiente"", ""Blanca Rodriguez-Gonzalez"", ""Norberto Malpica"", ""Angel Torrado-Carvajal""]",https://arxiv.org/abs/2609.03956v1,,,2026-09-03T14:55:57Z,2026-09-06T16:57:19.206468Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.03943v1,More Criticism Does Not Make a Better Review: EquiReview-R,"[""Zexing Zhang"", ""Jichao Li"", ""Tianyang Lei"", ""Yude Fu"", ""Yang Kewei""]",https://arxiv.org/abs/2609.03943v1,,,2026-09-03T14:49:24Z,2026-09-06T16:57:19.206474Z
